timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Big Five Hlabisa,Yes,39789,81.2,,,,,KwaZulu-Natal,Umkhanyakude,Big Five Hlabisa,DsSchoolAttendences
Census 2022,Municipality,Big Five Hlabisa,No,9223,18.8,,,,,KwaZulu-Natal,Umkhanyakude,Big Five Hlabisa,DsSchoolAttendences
Census 2022,Municipality,Jozini,Yes,59806,80.1,,,,,KwaZulu-Natal,Umkhanyakude,Jozini,DsSchoolAttendences
Census 2022,Municipality,Jozini,No,14859,19.9,,,,,KwaZulu-Natal,Umkhanyakude,Jozini,DsSchoolAttendences
Census 2022,Municipality,Mtubatuba,Yes,62894,78.6,,,,,KwaZulu-Natal,Umkhanyakude,Mtubatuba,DsSchoolAttendences
Census 2022,Municipality,Mtubatuba,No,17137,21.4,,,,,KwaZulu-Natal,Umkhanyakude,Mtubatuba,DsSchoolAttendences
Census 2022,Municipality,Umhlabuyalingana,Yes,55283,80.8,,,,,KwaZulu-Natal,Umkhanyakude,Umhlabuyalingana,DsSchoolAttendences
Census 2022,Municipality,Umhlabuyalingana,No,13098,19.2,,,,,KwaZulu-Natal,Umkhanyakude,Umhlabuyalingana,DsSchoolAttendences
Census 2022,Municipality,Endumeni,Yes,25547,74.0,,,,,KwaZulu-Natal,Umzinyathi,Endumeni,DsSchoolAttendences
Census 2022,Municipality,Endumeni,No,8984,26.0,,,,,KwaZulu-Natal,Umzinyathi,Endumeni,DsSchoolAttendences
Census 2022,Municipality,Msinga,Yes,71047,82.1,,,,,KwaZulu-Natal,Umzinyathi,Msinga,DsSchoolAttendences
Census 2022,Municipality,Msinga,No,15530,17.9,,,,,KwaZulu-Natal,Umzinyathi,Msinga,DsSchoolAttendences
Census 2022,Municipality,Nqutu,Yes,67230,81.8,,,,,KwaZulu-Natal,Umzinyathi,Nqutu,DsSchoolAttendences
Census 2022,Municipality,Nqutu,No,14925,18.2,,,,,KwaZulu-Natal,Umzinyathi,Nqutu,DsSchoolAttendences
Census 2022,Municipality,Umvoti,Yes,40524,77.6,,,,,KwaZulu-Natal,Umzinyathi,Umvoti,DsSchoolAttendences
Census 2022,Municipality,Umvoti,No,11681,22.4,,,,,KwaZulu-Natal,Umzinyathi,Umvoti,DsSchoolAttendences
Census 2022,Municipality,Alfred Duma,Yes,113242,76.3,,,,,KwaZulu-Natal,Uthukela,Alfred Duma,DsSchoolAttendences
Census 2022,Municipality,Alfred Duma,No,35145,23.7,,,,,KwaZulu-Natal,Uthukela,Alfred Duma,DsSchoolAttendences
Census 2022,Municipality,Inkosi Langalibalele,Yes,62741,74.7,,,,,KwaZulu-Natal,Uthukela,Inkosi Langalibalele,DsSchoolAttendences
Census 2022,Municipality,Inkosi Langalibalele,No,21254,25.3,,,,,KwaZulu-Natal,Uthukela,Inkosi Langalibalele,DsSchoolAttendences
Census 2022,Municipality,Okhahlamba,Yes,42107,79.2,,,,,KwaZulu-Natal,Uthukela,Okhahlamba,DsSchoolAttendences
