timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Mhlontlo,Removed by local authority at least once a week,11390,25.9,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Mhlontlo,Removed by local authority less often,31,0.1,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Mhlontlo,Communal refuse dump,819,1.9,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Mhlontlo,Communal container/central collection point,129,0.3,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Mhlontlo,Own refuse dump,25261,57.4,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Mhlontlo,No Rubbish Disposal,5210,11.8,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Mhlontlo,Other,1140,2.6,Eastern Cape,O.R. Tambo,Mhlontlo,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,Removed by local authority at least once a week,11521,18.0,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,Removed by local authority less often,328,0.5,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,Communal refuse dump,996,1.6,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,Communal container/central collection point,170,0.3,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,Own refuse dump,41653,65.0,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,No Rubbish Disposal,8015,12.5,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Ngquza Hill,Other,1369,2.1,Eastern Cape,O.R. Tambo,Ngquza Hill,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,Removed by local authority at least once a week,13909,23.1,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,Removed by local authority less often,55,0.1,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,Communal refuse dump,553,0.9,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,Communal container/central collection point,300,0.5,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,Own refuse dump,38514,63.9,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,No Rubbish Disposal,6028,10.0,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Nyandeni,Other,923,1.5,Eastern Cape,O.R. Tambo,Nyandeni,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,Removed by local authority at least once a week,5728,18.7,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,Removed by local authority less often,13,0.0,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,Communal refuse dump,373,1.2,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,Communal container/central collection point,202,0.7,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,Own refuse dump,19238,62.8,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,No Rubbish Disposal,4606,15.0,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Port St Johns,Other,483,1.6,Eastern Cape,O.R. Tambo,Port St Johns,DsRefuseDisposals
Census 2022,Municipality,Blue Crane Route,Removed by local authority at least once a week,12252,76.0,Eastern Cape,Sarah Baartman,Blue Crane Route,DsRefuseDisposals
Census 2022,Municipality,Blue Crane Route,Removed by local authority less often,78,0.5,Eastern Cape,Sarah Baartman,Blue Crane Route,DsRefuseDisposals
Census 2022,Municipality,Blue Crane Route,Communal refuse dump,228,1.4,Eastern Cape,Sarah Baartman,Blue Crane Route,DsRefuseDisposals
