timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Ngquza Hill,Chemical toilet,13.5,Eastern Cape,O.R. Tambo,Ngquza Hill,DsMainToiletFacilitys
Census 2022,Municipality,Ngquza Hill,Pit toilet,56.2,Eastern Cape,O.R. Tambo,Ngquza Hill,DsMainToiletFacilitys
Census 2022,Municipality,Ngquza Hill,Bucket toilet,2.7,Eastern Cape,O.R. Tambo,Ngquza Hill,DsMainToiletFacilitys
Census 2022,Municipality,Ngquza Hill,Other,4.2,Eastern Cape,O.R. Tambo,Ngquza Hill,DsMainToiletFacilitys
Census 2022,Municipality,Ngquza Hill,None,5.4,Eastern Cape,O.R. Tambo,Ngquza Hill,DsMainToiletFacilitys
Census 2022,Municipality,Nyandeni,Flush toilet,23.7,Eastern Cape,O.R. Tambo,Nyandeni,DsMainToiletFacilitys
Census 2022,Municipality,Nyandeni,Chemical toilet,5.9,Eastern Cape,O.R. Tambo,Nyandeni,DsMainToiletFacilitys
Census 2022,Municipality,Nyandeni,Pit toilet,60.4,Eastern Cape,O.R. Tambo,Nyandeni,DsMainToiletFacilitys
Census 2022,Municipality,Nyandeni,Bucket toilet,1.4,Eastern Cape,O.R. Tambo,Nyandeni,DsMainToiletFacilitys
Census 2022,Municipality,Nyandeni,Other,2.1,Eastern Cape,O.R. Tambo,Nyandeni,DsMainToiletFacilitys
Census 2022,Municipality,Nyandeni,None,6.6,Eastern Cape,O.R. Tambo,Nyandeni,DsMainToiletFacilitys
Census 2022,Municipality,Port St Johns,Flush toilet,19.4,Eastern Cape,O.R. Tambo,Port St Johns,DsMainToiletFacilitys
Census 2022,Municipality,Port St Johns,Chemical toilet,9.4,Eastern Cape,O.R. Tambo,Port St Johns,DsMainToiletFacilitys
Census 2022,Municipality,Port St Johns,Pit toilet,58.7,Eastern Cape,O.R. Tambo,Port St Johns,DsMainToiletFacilitys
Census 2022,Municipality,Port St Johns,Bucket toilet,1.9,Eastern Cape,O.R. Tambo,Port St Johns,DsMainToiletFacilitys
Census 2022,Municipality,Port St Johns,Other,4.9,Eastern Cape,O.R. Tambo,Port St Johns,DsMainToiletFacilitys
Census 2022,Municipality,Port St Johns,None,5.6,Eastern Cape,O.R. Tambo,Port St Johns,DsMainToiletFacilitys
Census 2022,Municipality,Blue Crane Route,Flush toilet,87.2,Eastern Cape,Sarah Baartman,Blue Crane Route,DsMainToiletFacilitys
Census 2022,Municipality,Blue Crane Route,Chemical toilet,0.5,Eastern Cape,Sarah Baartman,Blue Crane Route,DsMainToiletFacilitys
Census 2022,Municipality,Blue Crane Route,Pit toilet,5.0,Eastern Cape,Sarah Baartman,Blue Crane Route,DsMainToiletFacilitys
Census 2022,Municipality,Blue Crane Route,Bucket toilet,2.2,Eastern Cape,Sarah Baartman,Blue Crane Route,DsMainToiletFacilitys
Census 2022,Municipality,Blue Crane Route,Other,1.0,Eastern Cape,Sarah Baartman,Blue Crane Route,DsMainToiletFacilitys
Census 2022,Municipality,Blue Crane Route,None,4.2,Eastern Cape,Sarah Baartman,Blue Crane Route,DsMainToiletFacilitys
Census 2022,Municipality,Dr Beyers Naude,Flush toilet,96.1,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsMainToiletFacilitys
Census 2022,Municipality,Dr Beyers Naude,Chemical toilet,0.5,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsMainToiletFacilitys
Census 2022,Municipality,Dr Beyers Naude,Pit toilet,1.0,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsMainToiletFacilitys
Census 2022,Municipality,Dr Beyers Naude,Bucket toilet,0.9,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsMainToiletFacilitys
Census 2022,Municipality,Dr Beyers Naude,Other,0.2,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsMainToiletFacilitys
Census 2022,Municipality,Dr Beyers Naude,None,1.4,Eastern Cape,Sarah Baartman,Dr Beyers Naude,DsMainToiletFacilitys
Census 2022,Municipality,Kou-Kamma,Flush toilet,91.5,Eastern Cape,Sarah Baartman,Kou-Kamma,DsMainToiletFacilitys
